"railway-eng","railway-east","railway-west","railway-maonshan",,,,,,,
"railway","東鐵綫","西鐵綫","馬鞍山綫","將軍澳綫","港島綫","觀塘綫","荃灣綫","迪士尼綫","部分路段共用路軌","部分路段共用路軌"
"designCap",101000,64000,32000,85000,85000,85000,85000,10800,45000,6400
"maxCap",90000,51500,30500,67500,80000,71400,75000,9600,45000,4800
"currentCap",82500,49200,26800,62500,80000,71400,75000,9600,37500,4800
"d",11000,12500,1500,17500,5000,13600,10000,1200,0,1600
"e",7500,2300,3700,5000,0,0,0,7500,0,
"currentLoad",58700,34600,15200,44800,52900,47600,52300,2400,22400,2200
"currentLoadFactor6",0.71,0.7,0.57,0.72,0.66,0.67,0.7,0.25,0.6,0.46
"currentLoadFactor4",1,0.99,0.8,1.01,0.93,0.94,0.98,0.35,0.84,0.54
"currentLoadFactor6Design",0.58,0.54,0.48,0.53,0.62,0.56,0.62,0.22,0.5,0.34
"canIncreaseFreq","可以","可以","可以","可以","不可以","不可以","不可以","不可以","可以(註 5 )","不可以(註 5 )"
"canUpgrade","有","有","有","有","有","有","有","有",,
"l","(2020年當沙","(2018年當沙","(2018年當沙","(2018至2022","(2018至2022","(2018至2022","(2018至2022","(2018至2022","(計劃中)","(計劃中)"